Gene name,Intron-containing gene?,Transcription frequency (mRNA/hour),"DNA:RNA hybrid density (mean, A.U.)"
YDR170C,no,4.274472117,6.758736058
YER047C,no,0.320994629,6.66221857
YJR085C,no,13.06423119,6.573685505
YNL247W,no,7.650137419,6.544965596
YLR259C,no,19.755237,6.534749275
YGR282C,no,19.20791259,6.392189519
YDL056W,no,1.084438319,6.207373663
YJR047C,no,0.790501342,6.120958184
YHR172W,no,0.463616456,5.553632995
YMR145C,no,12.77230764,5.450502103
YOR371C,no,0.81560988,5.443313328
YOR273C,no,1.600322417,5.078570358
YOR113W,no,0.551167092,5.03817294
YJL029C,no,1.107150655,4.744553477
YGL105W,no,15.71148949,4.733679249
YLR106C,no,1.737034264,4.688173301
YLR257W,no,4.166911253,4.57110274
YIL014C-A,no,n.d.,4.262075398
YJR016C,no,7.230721669,4.14015232
YIL017C,no,n.d.,4.060090953
YNL014W,no,0.377847008,3.926652198
YKR043C,no,9.467063992,3.916927767
YGR155W,no,29.52102136,3.709993663
YJR127C,no,0.943125242,3.707722831
YBR131W,no,0.306027223,3.659980057
YKL182W,no,27.91712801,3.458968839
YOR222W,no,5.446398605,3.383303897
YEL018W,no,2.095026585,3.303008525
YJL050W,no,2.80153581,3.238237055
YPL231W,no,17.85684125,3.164581916
YOR040W,no,1.017136984,2.959277217
YKL063C,no,3.560111063,2.839895413
YKL210W,no,5.820617837,2.811695898
YGL087C,yes,1.811829436,2.765098257
YDR500C,yes,87.55587757,2.61403307
YDL171C,no,4.473070533,2.371933655
YOL013C,no,0.374013768,2.251495331
YHL011C,no,7.030898669,2.23807586
YLR143W,no,2.36961543,2.183243165
YDR461C-A,no,n.d.,2.181738272
YML008C,no,11.27654491,1.762192959
YMR278W,no,1.121057959,1.760491976
YDL104C,no,1.009776521,1.602600549
YBR119W,yes,1.07157684,1.471888098
YBL004W,no,4.273568257,1.450602473
YDR076W,no,0.413413138,1.438636867
YGR177C,no,n.d.,1.272585414
YHR131C,no,2.298225669,1.105576055
YMR108W,no,7.890590754,0.982617499
YOL059W,no,3.137057052,0.687644391
YOR249C,no,0.797729827,0.672103179
YNL056W,no,4.472708777,0.616757052
YOR354C,no,1.978989818,0.570500041
YNL262W,no,2.386391052,0.535109741
YFL017C,no,6.049323851,0.411291513
YPR091C,no,0.751487184,0.325800624
YPL048W,no,4.560256711,0.137390014
